org,score,grant_id,db_title,db_current_url,scraped_title,scraped_url
CNC,1.000,2ff10208-9d28-4a32-86ca-94cbebb45b19,"Aide a l'ecriture de scenario - CNC","https://www.cnc.fr/","Soutien au scénario, aide à l écriture","https://www.cnc.fr/professionnels/aides-et-financements/cinema/scenario/soutien-au-scenario-aide-a-lecriture_191516"
CNC,1.000,b07875fe-17cc-4ab6-8f13-2b0d9d133769,"Avance sur recettes avant realisation - CNC","https://www.cnc.fr/","Avance sur recettes avant réalisation","https://www.cnc.fr/professionnels/aides-et-financements/cinema/production/avance-sur-recettes-avant-realisation_191260"
CNC,0.500,bffd5940-df49-45b2-be86-4e37fefc7681,"Aide au court metrage - CNC","https://www.cnc.fr/professionnels/aides-et-financements/court-metrage","Aide au programme de production de films de court métrage","https://www.cnc.fr/professionnels/aides-et-financements/court-metrage/production/aide-au-programme-de-production-de-films-de-court-metrage_191052"
CNL,0.500,8042f870-9814-4f96-acdf-2316d6ce5d0f,"Bourse de creation litteraire - CNL","https://centrenationaldulivre.fr/","Bourse de résidence de création","https://centrenationaldulivre.fr/aides-financement/bourse-de-residence"
CNL,0.500,3beac94e-8e82-4b85-8907-a6e45c02737c,"Bourse de residence d'ecriture - CNL","https://centrenationaldulivre.fr/aides","Bourse de résidence de création","https://centrenationaldulivre.fr/aides-financement/bourse-de-residence"
CNM,0.375,bba707e3-785f-4a9c-9369-795844b1ca37,"Aide a la diffusion de spectacle vivant musical - CNM","https://cnm.fr/aides-financieres/","Crédit d'impôt pour le spectacle vivant musical - Le CNM : Centre national de la musique","https://cnm.fr/aides-financieres/credit-dimpot-pour-le-spectacle-vivant-musical/"
SACEM,0.250,d08667a7-74b3-429e-be97-5e17e6cca0ae,"Bourse de creation SACEM","https://aide-aux-projets.sacem.fr/","Création de spectacle musical","https://aide-aux-projets.sacem.fr/nos-programmes-aide/creation-de-spectacle-musical/consultation"
CNM,0.200,a63418d7-832e-4753-9625-740647b55fa2,"Aide au developpement d'artiste - CNM","https://cnm.fr/","Aide au développement éditorial - Le CNM : Centre national de la musique","https://cnm.fr/aides-financieres/developpement-editorial/"
CNM,0.125,0fce2d8f-d401-46b5-adf5-17ad36ac5beb,"Aide a la creation musicale - CNM","https://ma-source.info/appel-a-projets-aide-a-la-creation-de-musique-originale-pour-le-court-metrage/","Aide à la création ou à la reprise d’activité de disquaires indépendants - Le CNM : Centre national de la musique","https://cnm.fr/aides-financieres/aide-a-la-creation-ou-a-la-reprise-dactivite-de-disquaires-independants/"
CNL,0.111,c6ba479b-188c-47f2-bbb8-7f91ffca5e29,"Subventions pour projets culturels : livre, lecture, écriture\" (69 caractères)","https://aides-territoires.beta.gouv.fr/aides/a354-soutenir-les-projets-culturels-autour-du-livr/","Aide à la création et au développement du livre audio","https://centrenationaldulivre.fr/aides-financement/aide-a-la-creation-et-au-developpement-du-livre-audio"
CNAP,0.000,a9d8cf44-4485-4e9e-9cdc-1ba6a1639b83,"Aide au premier catalogue - CNAP","https://www.cnap.fr/","",""
ADAMI,0.000,816fa342-5bf4-4c7a-a1e9-af34c5817675,"Aide aux projets - ADAMI","https://www.adami.fr/que-fait-ladami-pour-moi/cherche-financement-projet-artistique/","",""
SPEDIDAM,0.000,27116524-cecb-4682-8fee-2756ebed5c2d,"Aide aux projets - SPEDIDAM","https://www.spedidam.fr/","",""
CNAP,0.000,085d01fe-4b97-466a-a9a1-7b12f02733ea,"Aide individuelle a la creation - CNAP","https://www.cnap.fr/","",""
